comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10156316962108463_10156317064003463,8245623462_10156316962108463,,"b""HIT LIKE IF GREEN IS BETTER THAN LEBUM\nLEBUM CAN'T CARRY A TEAM, CAN'T COACH, CAN'T BE A TEAMPLAYER, CAN'T ADJUST TO THE SYSTEM LEBUM IS NOWHERE NEAR TO GREEN""",0,2018-03-18 02:11:07,10
10156316962108463_10156317066438463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'I see why you only have 10 friends now',0,2018-03-18 02:12:10,17
10156316962108463_10156317070188463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Huwahahaha ^',0,2018-03-18 02:13:48,0
10156316962108463_10156317071168463,8245623462_10156316962108463,10156316962108463_10156317064003463,"b""I have few friends but choosen well because i'm very handsome""",0,2018-03-18 02:14:09,0
10156316962108463_10156317073973463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'\xf0\x9f\x8e\xa3',0,2018-03-18 02:15:08,0
10156316962108463_10156317074068463,8245623462_10156316962108463,10156316962108463_10156317064003463,"b""You're talking too much non sense. you better stfu""",0,2018-03-18 02:15:09,3
10156316962108463_10156317075808463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Ricardo Dalisay everything you say is wrong',0,2018-03-18 02:15:56,0
10156316962108463_10156317095673463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Ritch hahaha Ricardo Dalisay',0,2018-03-18 02:23:34,0
10156316962108463_10156317102568463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Keenan a friend of yours?',0,2018-03-18 02:26:24,0
10156316962108463_10156317128628463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Idiot',0,2018-03-18 02:36:02,0
10156316962108463_10156317159538463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Kaya ka iniiwan ni alyana e napaka Tang.a mu hahahaha',0,2018-03-18 02:46:19,0
10156316962108463_10156317205543463,8245623462_10156316962108463,10156316962108463_10156317064003463,"b""Fix ur life Cardo.\nGet a life.\nOr commit suicide,that's the best thing for you to do.. salty bandwagon Filipino low class life.""",0,2018-03-18 03:03:20,1
10156316962108463_10156317217893463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Not a fan of either but come on green better than leflop I highly doubt that',0,2018-03-18 03:09:56,0
10156316962108463_10156317224238463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'This comment is just sad.',0,2018-03-18 03:12:59,0
10156316962108463_10156317307463463,8245623462_10156316962108463,10156316962108463_10156317064003463,b'Whatever at least dramaqueen is in my head',0,2018-03-18 03:52:36,0
10156316962108463_10156317534658463,8245623462_10156316962108463,10156316962108463_10156317064003463,"b""go home Boy, you're drunk""",0,2018-03-18 05:38:53,0
10156316962108463_10156317064418463,8245623462_10156316962108463,,b'MVP=mostvocalplayer',0,2018-03-18 02:11:21,0
10156316962108463_10156317065208463,8245623462_10156316962108463,,b'feeling pro draymond',0,2018-03-18 02:11:38,0
10156316962108463_10156317066268463,8245623462_10156316962108463,,"b'Josh Jackson got us 36 \xf0\x9f\x99\x8f besides him , booker and the odd warren game we stink Vincent Palencia'",0,2018-03-18 02:12:06,1
10156316962108463_10156317066513463,8245623462_10156316962108463,,b'Congrats warriors',0,2018-03-18 02:12:12,0
10156316962108463_10156317066898463,8245623462_10156316962108463,,b'Good Job Draymond \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f..Go Warriors Win the Next Game \xf0\x9f\x91\x89',0,2018-03-18 02:12:19,1
10156316962108463_10156317067223463,8245623462_10156316962108463,,b'\xf0\x9f\x92\x99\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x92\x9b',0,2018-03-18 02:12:29,0
10156316962108463_10156317069543463,8245623462_10156316962108463,,b'Jordie Kuipers',0,2018-03-18 02:13:29,0
10156316962108463_10156317072753463,8245623462_10156316962108463,,b'Hassan Boufennane Mathieu Tolecroub sans les Gros ! Green sort le match parfait et collectif',0,2018-03-18 02:14:41,0
10156316962108463_10156317074473463,8245623462_10156316962108463,,b'Green is a bum',0,2018-03-18 02:15:24,3
10156316962108463_10156317216303463,8245623462_10156316962108463,10156316962108463_10156317074473463,b'Oklol?',0,2018-03-18 03:09:15,0
10156316962108463_10156317229818463,8245623462_10156316962108463,10156316962108463_10156317074473463,b'Wait I cant hear you over the sound of two championship rings and dpoy',0,2018-03-18 03:16:00,0
10156316962108463_10156317238068463,8245623462_10156316962108463,10156316962108463_10156317074473463,"b'Without steph klay and durant, Green will just be an ordinary player.'",0,2018-03-18 03:20:14,0
10156316962108463_10156317077143463,8245623462_10156316962108463,,"b""Without Kevin Durant, klay Thompson and Stephen curry, and gsw fans still tell me that gsw isn't a super team \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f""",0,2018-03-18 02:16:36,0
10156316962108463_10156317080498463,8245623462_10156316962108463,10156316962108463_10156317077143463,b'They not.',0,2018-03-18 02:17:56,0
10156316962108463_10156317080638463,8245623462_10156316962108463,10156316962108463_10156317077143463,b'Are you saying they are still a super team when those 3 sit? Lmao',0,2018-03-18 02:18:03,7
10156316962108463_10156317087383463,8245623462_10156316962108463,10156316962108463_10156317077143463,"b'The Suns had 2 players out as well, I believe. It was role players against role players.'",0,2018-03-18 02:20:39,0
10156316962108463_10156317089623463,8245623462_10156316962108463,10156316962108463_10156317077143463,b'Dominic Dexter Delgado lmao no just saying in general \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',0,2018-03-18 02:21:32,0
10156316962108463_10156317135053463,8245623462_10156316962108463,10156316962108463_10156317077143463,"b'Without Lebron is cleveland still relevant, without harden is Houston relevant? Bruh stfu'",0,2018-03-18 02:37:22,0
10156316962108463_10156317368503463,8245623462_10156316962108463,10156316962108463_10156317077143463,"b""Lmao they are super team and no one says they aren't stop fronting, but beating the suns with just Nick Young and Draymond is proof?  They just lost to Sac""",0,2018-03-18 04:19:32,0
10156316962108463_10156317406083463,8245623462_10156316962108463,10156316962108463_10156317077143463,b'Just shut up hater',0,2018-03-18 04:37:18,0
10156316962108463_10156317079488463,8245623462_10156316962108463,,b'Green  is A Really Big  cry baby he got more #@#*@# than his sisters..Big cry baby. @!!',0,2018-03-18 02:17:30,1
