Homophobic,Sexist,Racist
Batty,Battle-axe,Abid
Dyke,Bitch,ABCD
Fag,Boseulachi,ABC
Faggot,Cock,Abeed
Fruit,Crone,Abbie
Girlie,Cunt,Abie
Homintern,Doenjang,Abe
Queen,lesbian,abo
Queer,Hag,abbo
Twink,Harpy,Ali Baba
Banjee,sandwich,Alligatorξbait
Buggery,Maternal,Ape
kiki,Queen,Bamboula
poppers,Slut,Beaner
Gay,Slut-shaming,Bootlip
lesbian,Termagant,Brownie
homo,Tranny ,Bounty bar
uranian,Twat,Buffie
yaoi,Virago,Burr head
outing,Zhydovka,Chink
tranny,fuck-me ,Chug
travesti,fuck-me,cina
tongzhi,breeder,coolie
maknyah,bugger,crow
mak nyah,wags,darky
ergi,mother,dothead
greek love,mom,FOB
homophile,sister,gable
gaymer,woman,gora
sissy,puss,groid
serosorting,pussy,gub
butch,sissy,guinea
femme,kitchen,hajji
shemale,motherfucker,half-breed
queerbaiting,fucker,heeb
dyke,witch,hebe
anal,bee,honky
bumhole,catty,hymie
gaysian,bossy,jap
cuntboy,ball-buster,japie
dickgirl,manly,jungle bunny
,mannish,nigger
,nag,nip
,femminazi,nawar
,milf,oreo
,mummy,paki
,man-eater,peckerwood
,cougar,palagi
,prude,pickanniny
,trollop,piefke
,ladylike,pikey
,chatty,plastic paddy
,hormonal,quashie
,menstrual,raghead
,mistress,rastus
,spinster,redneck
,princess,redskin
,catfight,roto
,bitchfest,sambo
,mommy,sheeny
,,shylock
,,spic
,,spick
,,squaw
,,taffy
,,taig
,,tar-baby
,,teuchter
,,turk
,,twinkie
,,uncle tom
,,wetback
,,wigger
,,whitey
,,wog
,,wop
,,yank
,,yankee
,,racist
,,black
,,trash
,,brown
